"time","TC","IC","VL"
0,10897880.7556105,0.185302978039335,15441.5040663921
2,4439328.10336737,156.78008513929,309363.768923927
4,12822666.7747491,15411.6131966104,166422820.56561
6,3047294.63290935,127284.358444129,3048203650.95496
8,436443.201259635,532466.2789341,75590367118.1128
10,89574.8695511256,15820.9321982482,1470567920.48318
12,130691.533219922,4151.39210947983,320366549.044226
14,33423.6523060659,261.020365056747,11082704.1368389
16,133160.788237516,68.0623707942751,1778515.67949263
18,838585.569224973,0.538309293739919,60313.0343810404
20,145031.239570218,0.0476639652572712,9846.74555408552
